id,department,department_id,amount,date,month,day,category,vendor,description,is_anomaly,anomaly_type
TXN-00712,Women & Child Development,DEPT-008,10.69,2025-07-02,7,2,salaries,Vendor-024,Regular departmental expenditure,False,none
TXN-00202,Road Transport & Highways,DEPT-003,7.65,2025-05-07,5,7,revenue,Vendor-027,Regular departmental expenditure,False,none
TXN-00940,Public Works - Nagpur,DEPT-011,4.24,2025-09-26,9,26,salaries,Vendor-017,Regular departmental expenditure,False,none
TXN-00811,Public Works - Pune,DEPT-009,11.14,2025-06-16,6,16,revenue,Vendor-032,Regular departmental expenditure,False,none
TXN-00716,Women & Child Development,DEPT-008,10.46,2025-08-25,8,25,revenue,Vendor-040,Regular departmental expenditure,False,none
TXN-00754,Public Works - Pune,DEPT-009,7.31,2025-09-20,9,20,grants,Vendor-041,Regular departmental expenditure,False,none
TXN-00693,Women & Child Development,DEPT-008,15.77,2025-07-24,7,24,revenue,Vendor-022,Regular departmental expenditure,False,none
TXN-00457,Rural Development,DEPT-005,250.0,2025-06-14,6,14,salaries,Vendor-049,Capital expenditure - project payment,True,round_amount_fraud
TXN-00133,Education,DEPT-002,20.71,2025-05-11,5,11,grants,Vendor-039,Regular departmental expenditure,False,none
TXN-00604,Water Resources,DEPT-007,4.05,2025-06-03,6,3,revenue,Vendor-034,Regular departmental expenditure,False,none
TXN-00777,Public Works - Pune,DEPT-009,9.89,2025-09-26,9,26,subsidies,Vendor-050,Regular departmental expenditure,False,none
TXN-00932,Public Works - Nagpur,DEPT-011,4.42,2025-05-01,5,1,subsidies,Vendor-030,Regular departmental expenditure,False,none
TXN-00836,Public Works - Mumbai,DEPT-010,13.43,2025-10-08,10,8,salaries,Vendor-038,Regular departmental expenditure,False,none
TXN-00320,Agriculture & Farmers,DEPT-004,19.85,2025-10-09,10,9,revenue,Vendor-012,Regular departmental expenditure,False,none
TXN-00497,Urban Development,DEPT-006,3.73,2025-05-24,5,24,grants,Vendor-020,Regular departmental expenditure,False,none
TXN-01100,Primary Education - Pune,DEPT-012,4.52,2025-10-27,10,27,salaries,Vendor-042,Repeat vendor contract payment,True,vendor_concentration
TXN-00793,Public Works - Pune,DEPT-009,8.18,2025-08-06,8,6,subsidies,Vendor-018,Regular departmental expenditure,False,none
TXN-00880,Public Works - Mumbai,DEPT-010,8.97,2025-08-18,8,18,salaries,Vendor-016,Regular departmental expenditure,False,none
TXN-00631,Water Resources,DEPT-007,10.55,2025-05-13,5,13,salaries,Vendor-019,Regular departmental expenditure,False,none
TXN-00989,Public Works - Nagpur,DEPT-011,3.03,2025-06-06,6,6,infrastructure,Vendor-047,Regular departmental expenditure,False,none
TXN-00277,Agriculture & Farmers,DEPT-004,16.4,2025-08-11,8,11,grants,Vendor-034,Regular departmental expenditure,False,none
TXN-01084,Primary Education - Pune,DEPT-012,3.11,2025-12-08,12,8,subsidies,Vendor-028,Regular departmental expenditure,False,none
TXN-00203,Road Transport & Highways,DEPT-003,14.8,2025-06-22,6,22,capital,Vendor-007,Regular departmental expenditure,False,none
TXN-00201,Road Transport & Highways,DEPT-003,10.55,2025-12-26,12,26,grants,Vendor-038,Regular departmental expenditure,False,none
TXN-00922,Public Works - Nagpur,DEPT-011,11.98,2025-10-04,10,4,capital,Vendor-025,Regular departmental expenditure,False,none
TXN-00942,Public Works - Nagpur,DEPT-011,8.41,2025-11-15,11,15,infrastructure,Vendor-027,Regular departmental expenditure,False,none
TXN-00239,Road Transport & Highways,DEPT-003,15.64,2025-07-17,7,17,grants,Vendor-039,Regular departmental expenditure,False,none
TXN-00465,Urban Development,DEPT-006,8.23,2025-11-10,11,10,revenue,Vendor-016,Regular departmental expenditure,False,none
TXN-00571,Water Resources,DEPT-007,9.68,2025-04-08,4,8,subsidies,Vendor-019,Regular departmental expenditure,False,none
TXN-00047,Health & Family Welfare,DEPT-001,32.4,2025-06-20,6,20,infrastructure,Vendor-033,Regular departmental expenditure,False,none
TXN-00031,Health & Family Welfare,DEPT-001,10.39,2025-04-19,4,19,revenue,Vendor-044,Regular departmental expenditure,False,none
TXN-00252,Road Transport & Highways,DEPT-003,14.45,2025-09-26,9,26,infrastructure,Vendor-015,Regular departmental expenditure,False,none
TXN-00775,Public Works - Pune,DEPT-009,3.02,2025-12-07,12,7,capital,Vendor-028,Regular departmental expenditure,False,none
TXN-00973,Public Works - Nagpur,DEPT-011,4.15,2025-05-12,5,12,capital,Vendor-042,Regular departmental expenditure,False,none
TXN-01004,Public Works - Nagpur,DEPT-011,72.2,2025-04-16,4,16,subsidies,Vendor-002,Bulk procurement - emergency purchase,True,spending_spike
TXN-00259,Road Transport & Highways,DEPT-003,4.66,2025-05-23,5,23,grants,Vendor-042,Regular departmental expenditure,False,none
TXN-00774,Public Works - Pune,DEPT-009,11.64,2025-11-19,11,19,infrastructure,Vendor-042,Regular departmental expenditure,False,none
TXN-00692,Women & Child Development,DEPT-008,9.98,2025-11-04,11,4,infrastructure,Vendor-001,Regular departmental expenditure,False,none
TXN-00227,Road Transport & Highways,DEPT-003,14.65,2025-11-27,11,27,infrastructure,Vendor-023,Regular departmental expenditure,False,none
TXN-00746,Public Works - Pune,DEPT-009,9.2,2025-11-20,11,20,salaries,Vendor-024,Regular departmental expenditure,False,none
TXN-00091,Health & Family Welfare,DEPT-001,26.51,2025-06-17,6,17,grants,Vendor-042,Repeat vendor contract payment,True,vendor_concentration
TXN-00188,Road Transport & Highways,DEPT-003,26.49,2025-11-20,11,20,salaries,Vendor-008,Regular departmental expenditure,False,none
TXN-00797,Public Works - Pune,DEPT-009,10.93,2025-11-08,11,8,grants,Vendor-009,Regular departmental expenditure,False,none
TXN-00796,Public Works - Pune,DEPT-009,7.42,2025-10-23,10,23,infrastructure,Vendor-019,Regular departmental expenditure,False,none
TXN-00727,Women & Child Development,DEPT-008,59.1,2026-03-31,3,31,capital,Vendor-006,Urgent year-end fund utilization,True,march_dumping
TXN-00062,Health & Family Welfare,DEPT-001,20.95,2025-05-15,5,15,infrastructure,Vendor-023,Regular departmental expenditure,False,none
TXN-00721,Women & Child Development,DEPT-008,5.95,2025-09-04,9,4,infrastructure,Vendor-021,Regular departmental expenditure,False,none
TXN-00178,Education,DEPT-002,49.73,2025-07-25,7,25,revenue,Vendor-045,Procurement payment - vendor invoice,True,threshold_structuring
TXN-00490,Urban Development,DEPT-006,6.03,2025-07-07,7,7,revenue,Vendor-035,Regular departmental expenditure,False,none
TXN-00397,Rural Development,DEPT-005,7.48,2025-09-09,9,9,subsidies,Vendor-013,Regular departmental expenditure,False,none
TXN-01089,Primary Education - Pune,DEPT-012,2.55,2025-06-03,6,3,salaries,Vendor-026,Regular departmental expenditure,False,none
TXN-00350,Agriculture & Farmers,DEPT-004,12.83,2025-08-21,8,21,grants,Vendor-005,Regular departmental expenditure,False,none
TXN-00487,Urban Development,DEPT-006,3.49,2025-08-19,8,19,revenue,Vendor-035,Regular departmental expenditure,False,none
TXN-00963,Public Works - Nagpur,DEPT-011,3.25,2025-09-24,9,24,infrastructure,Vendor-035,Regular departmental expenditure,False,none
TXN-00323,Agriculture & Farmers,DEPT-004,11.32,2025-06-09,6,9,subsidies,Vendor-042,Regular departmental expenditure,False,none
TXN-00289,Agriculture & Farmers,DEPT-004,17.32,2025-11-02,11,2,subsidies,Vendor-024,Regular departmental expenditure,False,none
TXN-00624,Water Resources,DEPT-007,14.84,2025-09-10,9,10,revenue,Vendor-021,Regular departmental expenditure,False,none
TXN-00483,Urban Development,DEPT-006,9.9,2025-04-06,4,6,subsidies,Vendor-020,Regular departmental expenditure,False,none
TXN-00851,Public Works - Mumbai,DEPT-010,5.78,2025-12-09,12,9,infrastructure,Vendor-010,Regular departmental expenditure,False,none
TXN-00931,Public Works - Nagpur,DEPT-011,3.47,2025-09-05,9,5,capital,Vendor-048,Regular departmental expenditure,False,none
TXN-00745,Public Works - Pune,DEPT-009,8.52,2025-10-14,10,14,grants,Vendor-029,Regular departmental expenditure,False,none
TXN-00673,Women & Child Development,DEPT-008,14.1,2025-10-25,10,25,salaries,Vendor-022,Regular departmental expenditure,False,none
TXN-00881,Public Works - Mumbai,DEPT-010,10.9,2025-09-19,9,19,subsidies,Vendor-007,Regular departmental expenditure,False,none
TXN-00854,Public Works - Mumbai,DEPT-010,9.04,2025-04-14,4,14,infrastructure,Vendor-050,Regular departmental expenditure,False,none
TXN-01098,Primary Education - Pune,DEPT-012,34.18,2025-06-23,6,23,grants,Vendor-043,Bulk procurement - emergency purchase,True,spending_spike
TXN-00966,Public Works - Nagpur,DEPT-011,7.67,2025-10-14,10,14,capital,Vendor-018,Regular departmental expenditure,False,none
TXN-00760,Public Works - Pune,DEPT-009,6.89,2025-12-13,12,13,subsidies,Vendor-001,Regular departmental expenditure,False,none
TXN-01058,Primary Education - Pune,DEPT-012,3.85,2025-10-09,10,9,subsidies,Vendor-030,Regular departmental expenditure,False,none
TXN-00649,Women & Child Development,DEPT-008,10.85,2025-12-24,12,24,revenue,Vendor-047,Regular departmental expenditure,False,none
TXN-00895,Public Works - Mumbai,DEPT-010,3.76,2025-11-26,11,26,revenue,Vendor-027,Regular departmental expenditure,False,none
TXN-01040,Primary Education - Pune,DEPT-012,2.04,2025-09-14,9,14,subsidies,Vendor-043,Regular departmental expenditure,False,none
TXN-00096,Education,DEPT-002,24.11,2025-12-19,12,19,subsidies,Vendor-009,Regular departmental expenditure,False,none
TXN-00358,Agriculture & Farmers,DEPT-004,39.03,2026-03-26,3,26,revenue,Vendor-017,Urgent year-end fund utilization,True,march_dumping
TXN-00405,Rural Development,DEPT-005,3.11,2025-10-28,10,28,grants,Vendor-040,Regular departmental expenditure,False,none
TXN-00264,Road Transport & Highways,DEPT-003,36.19,2025-04-03,4,3,salaries,Vendor-014,Regular departmental expenditure,False,none
TXN-00036,Health & Family Welfare,DEPT-001,19.18,2025-08-12,8,12,revenue,Vendor-032,Regular departmental expenditure,False,none
TXN-00245,Road Transport & Highways,DEPT-003,25.69,2025-12-07,12,7,grants,Vendor-003,Regular departmental expenditure,False,none
TXN-00853,Public Works - Mumbai,DEPT-010,4.1,2025-09-22,9,22,revenue,Vendor-047,Regular departmental expenditure,False,none
TXN-00857,Public Works - Mumbai,DEPT-010,4.32,2025-08-17,8,17,infrastructure,Vendor-002,Regular departmental expenditure,False,none
TXN-00326,Agriculture & Farmers,DEPT-004,30.0,2025-07-13,7,13,salaries,Vendor-032,Regular departmental expenditure,False,none
TXN-00137,Education,DEPT-002,24.5,2025-08-04,8,4,revenue,Vendor-017,Regular departmental expenditure,False,none
TXN-00565,Water Resources,DEPT-007,4.95,2025-06-16,6,16,salaries,Vendor-020,Regular departmental expenditure,False,none
TXN-00814,Public Works - Pune,DEPT-009,4.13,2025-05-02,5,2,salaries,Vendor-045,Regular departmental expenditure,False,none
TXN-00555,Water Resources,DEPT-007,11.42,2025-04-02,4,2,capital,Vendor-008,Regular departmental expenditure,False,none
TXN-00661,Women & Child Development,DEPT-008,12.38,2025-09-10,9,10,salaries,Vendor-044,Regular departmental expenditure,False,none
TXN-00351,Agriculture & Farmers,DEPT-004,13.75,2025-07-21,7,21,revenue,Vendor-024,Regular departmental expenditure,False,none
TXN-00563,Water Resources,DEPT-007,10.55,2025-11-19,11,19,subsidies,Vendor-042,Regular departmental expenditure,False,none
TXN-00453,Rural Development,DEPT-005,8.88,2025-11-02,11,2,infrastructure,Vendor-042,Repeat vendor contract payment,True,vendor_concentration
TXN-00935,Public Works - Nagpur,DEPT-011,1.93,2025-10-20,10,20,capital,Vendor-012,Regular departmental expenditure,False,none
TXN-00606,Water Resources,DEPT-007,7.33,2025-08-12,8,12,grants,Vendor-039,Regular departmental expenditure,False,none
TXN-00585,Water Resources,DEPT-007,9.16,2025-11-25,11,25,infrastructure,Vendor-028,Regular departmental expenditure,False,none
TXN-00954,Public Works - Nagpur,DEPT-011,4.32,2025-11-15,11,15,grants,Vendor-031,Regular departmental expenditure,False,none
TXN-00280,Agriculture & Farmers,DEPT-004,13.15,2025-08-13,8,13,capital,Vendor-050,Regular departmental expenditure,False,none
TXN-00142,Education,DEPT-002,9.38,2025-06-27,6,27,salaries,Vendor-032,Regular departmental expenditure,False,none
TXN-00281,Agriculture & Farmers,DEPT-004,2.19,2025-06-26,6,26,grants,Vendor-040,Regular departmental expenditure,False,none
TXN-00741,Public Works - Pune,DEPT-009,8.41,2025-08-25,8,25,subsidies,Vendor-014,Regular departmental expenditure,False,none
TXN-00867,Public Works - Mumbai,DEPT-010,5.34,2025-11-10,11,10,subsidies,Vendor-015,Regular departmental expenditure,False,none
TXN-00868,Public Works - Mumbai,DEPT-010,7.36,2025-08-20,8,20,grants,Vendor-037,Regular departmental expenditure,False,none
TXN-00033,Health & Family Welfare,DEPT-001,48.0,2025-04-17,4,17,revenue,Vendor-012,Regular departmental expenditure,False,none
TXN-01017,Primary Education - Pune,DEPT-012,5.54,2025-11-19,11,19,infrastructure,Vendor-039,Regular departmental expenditure,False,none
TXN-00449,Rural Development,DEPT-005,99.79,2025-08-22,8,22,revenue,Vendor-032,Procurement payment - vendor invoice,True,threshold_structuring
TXN-00038,Health & Family Welfare,DEPT-001,37.03,2025-09-24,9,24,salaries,Vendor-034,Regular departmental expenditure,False,none
TXN-01006,Public Works - Nagpur,DEPT-011,6.31,2025-09-10,9,10,salaries,Vendor-042,Repeat vendor contract payment,True,vendor_concentration
TXN-00927,Public Works - Nagpur,DEPT-011,4.07,2025-10-04,10,4,grants,Vendor-018,Regular departmental expenditure,False,none
TXN-00782,Public Works - Pune,DEPT-009,12.35,2025-09-21,9,21,salaries,Vendor-005,Regular departmental expenditure,False,none
TXN-00619,Water Resources,DEPT-007,18.17,2025-07-07,7,7,salaries,Vendor-035,Regular departmental expenditure,False,none
TXN-00407,Rural Development,DEPT-005,6.86,2025-08-20,8,20,infrastructure,Vendor-022,Regular departmental expenditure,False,none
TXN-00109,Education,DEPT-002,11.26,2025-07-28,7,28,salaries,Vendor-041,Regular departmental expenditure,False,none
TXN-01080,Primary Education - Pune,DEPT-012,3.02,2025-05-12,5,12,capital,Vendor-017,Regular departmental expenditure,False,none
TXN-01001,Public Works - Nagpur,DEPT-011,36.09,2026-03-28,3,28,grants,Vendor-044,Urgent year-end fund utilization,True,march_dumping
TXN-00643,Water Resources,DEPT-007,50.0,2025-12-17,12,17,revenue,Vendor-029,Capital expenditure - project payment,True,round_amount_fraud
TXN-00170,Education,DEPT-002,19.04,2025-11-10,11,10,salaries,Vendor-023,Regular departmental expenditure,False,none
TXN-00968,Public Works - Nagpur,DEPT-011,2.81,2025-12-28,12,28,revenue,Vendor-045,Regular departmental expenditure,False,none
TXN-00570,Water Resources,DEPT-007,6.87,2025-10-09,10,9,salaries,Vendor-011,Regular departmental expenditure,False,none
TXN-01103,Primary Education - Pune,DEPT-012,9.63,2025-12-21,12,21,salaries,Vendor-026,Procurement payment - vendor invoice,True,threshold_structuring
TXN-00364,Agriculture & Farmers,DEPT-004,72.86,2026-03-30,3,30,infrastructure,Vendor-004,Urgent year-end fund utilization,True,march_dumping
TXN-00859,Public Works - Mumbai,DEPT-010,3.14,2025-09-20,9,20,salaries,Vendor-040,Regular departmental expenditure,False,none
TXN-00353,Agriculture & Farmers,DEPT-004,11.69,2025-05-23,5,23,subsidies,Vendor-038,Regular departmental expenditure,False,none
TXN-00792,Public Works - Pune,DEPT-009,3.41,2025-07-15,7,15,salaries,Vendor-017,Regular departmental expenditure,False,none
TXN-00524,Urban Development,DEPT-006,11.12,2025-12-12,12,12,grants,Vendor-046,Regular departmental expenditure,False,none
TXN-00196,Road Transport & Highways,DEPT-003,24.49,2025-11-09,11,9,infrastructure,Vendor-011,Regular departmental expenditure,False,none
TXN-00303,Agriculture & Farmers,DEPT-004,12.0,2025-11-28,11,28,infrastructure,Vendor-025,Regular departmental expenditure,False,none
TXN-00946,Public Works - Nagpur,DEPT-011,2.44,2025-09-27,9,27,revenue,Vendor-018,Regular departmental expenditure,False,none
TXN-00354,Agriculture & Farmers,DEPT-004,21.51,2025-07-23,7,23,infrastructure,Vendor-045,Regular departmental expenditure,False,none
TXN-00747,Public Works - Pune,DEPT-009,4.66,2025-12-08,12,8,revenue,Vendor-029,Regular departmental expenditure,False,none
TXN-00080,Health & Family Welfare,DEPT-001,14.04,2025-04-14,4,14,infrastructure,Vendor-005,Regular departmental expenditure,False,none
TXN-00195,Road Transport & Highways,DEPT-003,31.97,2025-12-22,12,22,grants,Vendor-029,Regular departmental expenditure,False,none
TXN-00329,Agriculture & Farmers,DEPT-004,11.45,2025-09-15,9,15,capital,Vendor-007,Regular departmental expenditure,False,none
TXN-00456,Rural Development,DEPT-005,100.0,2025-12-18,12,18,subsidies,Vendor-022,Capital expenditure - project payment,True,round_amount_fraud
TXN-00258,Road Transport & Highways,DEPT-003,11.19,2025-09-25,9,25,salaries,Vendor-018,Regular departmental expenditure,False,none
TXN-01086,Primary Education - Pune,DEPT-012,3.09,2025-11-06,11,6,infrastructure,Vendor-045,Regular departmental expenditure,False,none
TXN-00159,Education,DEPT-002,14.92,2025-09-05,9,5,capital,Vendor-033,Regular departmental expenditure,False,none
TXN-00235,Road Transport & Highways,DEPT-003,19.89,2025-12-21,12,21,revenue,Vendor-045,Regular departmental expenditure,False,none
TXN-00395,Rural Development,DEPT-005,11.63,2025-10-13,10,13,infrastructure,Vendor-036,Regular departmental expenditure,False,none
TXN-00190,Road Transport & Highways,DEPT-003,13.27,2025-07-26,7,26,grants,Vendor-027,Regular departmental expenditure,False,none
TXN-00360,Agriculture & Farmers,DEPT-004,137.58,2025-08-16,8,16,capital,Vendor-005,Bulk procurement - emergency purchase,True,spending_spike
TXN-00654,Women & Child Development,DEPT-008,4.62,2025-05-14,5,14,grants,Vendor-044,Regular departmental expenditure,False,none
TXN-01072,Primary Education - Pune,DEPT-012,4.63,2025-08-27,8,27,revenue,Vendor-039,Regular departmental expenditure,False,none
TXN-00983,Public Works - Nagpur,DEPT-011,4.71,2025-07-19,7,19,salaries,Vendor-042,Regular departmental expenditure,False,none
TXN-00399,Rural Development,DEPT-005,11.03,2025-11-06,11,6,revenue,Vendor-003,Regular departmental expenditure,False,none
TXN-01065,Primary Education - Pune,DEPT-012,3.45,2025-09-18,9,18,grants,Vendor-007,Regular departmental expenditure,False,none
TXN-00160,Education,DEPT-002,6.61,2025-08-22,8,22,salaries,Vendor-006,Regular departmental expenditure,False,none
TXN-00644,Water Resources,DEPT-007,49.33,2026-03-30,3,30,revenue,Vendor-017,Urgent year-end fund utilization,True,march_dumping
TXN-00225,Road Transport & Highways,DEPT-003,9.23,2025-12-02,12,2,salaries,Vendor-044,Regular departmental expenditure,False,none
TXN-00953,Public Works - Nagpur,DEPT-011,2.74,2025-05-03,5,3,infrastructure,Vendor-008,Regular departmental expenditure,False,none
TXN-00603,Water Resources,DEPT-007,24.0,2025-09-21,9,21,grants,Vendor-023,Regular departmental expenditure,False,none
TXN-00780,Public Works - Pune,DEPT-009,9.22,2025-10-11,10,11,infrastructure,Vendor-024,Regular departmental expenditure,False,none
TXN-00359,Agriculture & Farmers,DEPT-004,66.3,2025-11-25,11,25,subsidies,Vendor-046,Bulk procurement - emergency purchase,True,spending_spike
TXN-00710,Women & Child Development,DEPT-008,8.35,2025-10-14,10,14,subsidies,Vendor-046,Regular departmental expenditure,False,none
TXN-00333,Agriculture & Farmers,DEPT-004,21.44,2025-05-04,5,4,infrastructure,Vendor-039,Regular departmental expenditure,False,none
TXN-00672,Women & Child Development,DEPT-008,3.6,2025-07-15,7,15,grants,Vendor-009,Regular departmental expenditure,False,none
TXN-00815,Public Works - Pune,DEPT-009,4.12,2025-11-27,11,27,infrastructure,Vendor-004,Regular departmental expenditure,False,none
TXN-00421,Rural Development,DEPT-005,6.7,2025-08-02,8,2,subsidies,Vendor-025,Regular departmental expenditure,False,none
TXN-00204,Road Transport & Highways,DEPT-003,40.31,2025-07-06,7,6,salaries,Vendor-024,Regular departmental expenditure,False,none
TXN-00141,Education,DEPT-002,18.02,2025-11-04,11,4,capital,Vendor-003,Regular departmental expenditure,False,none
TXN-00982,Public Works - Nagpur,DEPT-011,7.68,2025-10-13,10,13,subsidies,Vendor-037,Regular departmental expenditure,False,none
TXN-00406,Rural Development,DEPT-005,7.79,2025-09-05,9,5,subsidies,Vendor-040,Regular departmental expenditure,False,none
TXN-00995,Public Works - Nagpur,DEPT-011,4.35,2025-05-27,5,27,subsidies,Vendor-010,Regular departmental expenditure,False,none
TXN-00529,Urban Development,DEPT-006,10.38,2025-12-11,12,11,revenue,Vendor-047,Regular departmental expenditure,False,none
TXN-00151,Education,DEPT-002,18.99,2025-05-26,5,26,infrastructure,Vendor-035,Regular departmental expenditure,False,none
TXN-00633,Water Resources,DEPT-007,100.06,2025-09-28,9,28,revenue,Vendor-002,Bulk procurement - emergency purchase,True,spending_spike
TXN-00243,Road Transport & Highways,DEPT-003,21.1,2025-05-21,5,21,capital,Vendor-009,Regular departmental expenditure,False,none
TXN-00906,Public Works - Mumbai,DEPT-010,8.84,2025-04-11,4,11,revenue,Vendor-011,Regular departmental expenditure,False,none
TXN-00290,Agriculture & Farmers,DEPT-004,4.85,2025-06-16,6,16,infrastructure,Vendor-019,Regular departmental expenditure,False,none
TXN-00127,Education,DEPT-002,15.04,2025-08-21,8,21,salaries,Vendor-010,Regular departmental expenditure,False,none
TXN-00830,Public Works - Mumbai,DEPT-010,4.79,2025-07-07,7,7,infrastructure,Vendor-010,Regular departmental expenditure,False,none
TXN-00077,Health & Family Welfare,DEPT-001,21.93,2025-10-05,10,5,infrastructure,Vendor-029,Regular departmental expenditure,False,none
TXN-00523,Urban Development,DEPT-006,5.58,2025-07-06,7,6,infrastructure,Vendor-019,Regular departmental expenditure,False,none
TXN-00156,Education,DEPT-002,12.34,2025-07-15,7,15,infrastructure,Vendor-034,Regular departmental expenditure,False,none
TXN-00428,Rural Development,DEPT-005,7.02,2025-07-04,7,4,capital,Vendor-037,Regular departmental expenditure,False,none
TXN-00462,Urban Development,DEPT-006,8.62,2025-06-23,6,23,subsidies,Vendor-013,Regular departmental expenditure,False,none
TXN-00507,Urban Development,DEPT-006,8.0,2025-08-02,8,2,infrastructure,Vendor-048,Regular departmental expenditure,False,none
TXN-00620,Water Resources,DEPT-007,8.45,2025-12-08,12,8,subsidies,Vendor-045,Regular departmental expenditure,False,none
TXN-00377,Rural Development,DEPT-005,9.1,2025-05-14,5,14,salaries,Vendor-004,Regular departmental expenditure,False,none
TXN-00104,Education,DEPT-002,7.61,2025-09-19,9,19,salaries,Vendor-001,Regular departmental expenditure,False,none
TXN-00455,Rural Development,DEPT-005,142.81,2025-10-09,10,9,grants,Vendor-025,Bulk procurement - emergency purchase,True,spending_spike
TXN-00869,Public Works - Mumbai,DEPT-010,3.2,2025-11-11,11,11,infrastructure,Vendor-008,Regular departmental expenditure,False,none
TXN-00029,Health & Family Welfare,DEPT-001,28.73,2025-04-25,4,25,grants,Vendor-013,Regular departmental expenditure,False,none
TXN-00685,Women & Child Development,DEPT-008,7.91,2025-09-18,9,18,infrastructure,Vendor-010,Regular departmental expenditure,False,none
TXN-00759,Public Works - Pune,DEPT-009,5.39,2025-09-04,9,4,revenue,Vendor-030,Regular departmental expenditure,False,none
TXN-01043,Primary Education - Pune,DEPT-012,8.16,2025-09-09,9,9,salaries,Vendor-023,Regular departmental expenditure,False,none
TXN-00671,Women & Child Development,DEPT-008,4.04,2025-08-04,8,4,salaries,Vendor-007,Regular departmental expenditure,False,none
TXN-00820,Public Works - Pune,DEPT-009,49.86,2026-03-27,3,27,grants,Vendor-037,Urgent year-end fund utilization,True,march_dumping
TXN-00005,Health & Family Welfare,DEPT-001,41.55,2025-12-17,12,17,grants,Vendor-042,Regular departmental expenditure,False,none
TXN-00468,Urban Development,DEPT-006,12.21,2025-12-10,12,10,salaries,Vendor-046,Regular departmental expenditure,False,none
TXN-00315,Agriculture & Farmers,DEPT-004,8.07,2025-04-13,4,13,subsidies,Vendor-026,Regular departmental expenditure,False,none
TXN-00255,Road Transport & Highways,DEPT-003,42.0,2025-11-03,11,3,subsidies,Vendor-045,Regular departmental expenditure,False,none
TXN-00136,Education,DEPT-002,28.36,2025-04-24,4,24,subsidies,Vendor-030,Regular departmental expenditure,False,none
TXN-00847,Public Works - Mumbai,DEPT-010,9.01,2025-08-19,8,19,salaries,Vendor-012,Regular departmental expenditure,False,none
TXN-00441,Rural Development,DEPT-005,17.7,2025-04-10,4,10,revenue,Vendor-040,Regular departmental expenditure,False,none
TXN-00855,Public Works - Mumbai,DEPT-010,16.31,2025-11-22,11,22,subsidies,Vendor-030,Regular departmental expenditure,False,none
TXN-00311,Agriculture & Farmers,DEPT-004,22.95,2025-09-09,9,9,grants,Vendor-022,Regular departmental expenditure,False,none
TXN-00646,Women & Child Development,DEPT-008,6.05,2025-06-09,6,9,grants,Vendor-034,Regular departmental expenditure,False,none
TXN-00208,Road Transport & Highways,DEPT-003,7.75,2025-04-07,4,7,capital,Vendor-032,Regular departmental expenditure,False,none
